Title,Location,ds(1)_or_ml,Seniority,Region,Salary
Machine Learning Engineer,"San Francisco, California, United States",0,2,1,138483
"Senior Manager, Machine Learning Engineering","Santa Clara, California",0,4,2,172296
Senior Machine Learning Engineer,"Sunnyvale, California, United States",0,4,2,237781
Machine Learning Engineer,"San Diego, California, United States",0,2,4,120817
"Machine Learning Engineer, Data Science","San Francisco, California",0,3,1,165232
Machine Learning Engineer,"Fountain Valley, California, United States",0,3,3,152646
Senior Machine Learning Engineer,"Mountain View, California, United States",0,3,2,210640
Senior Machine Learning Engineer,"San Francisco, CA",0,3,1,179940
Senior Machine Learning Research Engineer,"Mountain View, California",0,2,2,172080
Machine Learning Engineer,"Cupertino, California, United States",0,2,2,106294
Senior Data Scientist/Machine Learning Researcher,"San Francisco, CA",1,2,1,110393
Data Scientist,"San Francisco, California, United States",1,2,1,109409
Data Scientist,"Saratoga, California, United States",1,2,2,201907
Associate Data Scientist,"Fullerton, California, United States",1,2,3,126978
Data Scientist,"Sunnyvale, California, United States",1,3,2,114917
Co-Founder & Chief Data Scientist,"San Francisco, CA",1,4,1,210265
Data Scientist,"Fremont, California",1,3,2,111988
Data Scientist,"Menlo Park, California, United States",1,2,2,189417
Data Scientist (Tech lead),Greater Los Angeles Area,1,3,3,136363
Data Scientist,San Jose,1,3,2,189340
